". tabdisp rank which_category, cell(bea_sum num_workers) cellwidth(20) "
"","","","","","","","","","","which_category","","","","","","","","","","","","",""
"rank","businessservs","","clothingperscare","","education","","exports","","food","","gov","","heath","","housing","","investment","","recreatnleisure","","transportation",""
"110","2123","3026.87","3352","3788.5","3255","8308.92","5112","26618.66","3255","10309.57","532A","17842.74","1150","14015.14","3315","18600.88","1120","22446.48","3321","15623.14","2122","10719.05"
"111","3255","2926.68","4860","3624.23","3324","8296.2","2110","26394.44","3322","10159","3256","17838.58","2122","11984.1","3364","18097.37","6210","20306.12","2121","14902.15","3255","10508.61"
"112","3256","2901.67","5112","3462.43","6210","8291.19","3322","21946.16","3336","9927.95","3255","16763.88","3315","11953.44","3321","16284.96","532A","20223.58","2123","13250.73","5112","10469.3"
"113","2122","2878.54","5330","3338.94","3315","6499.81","5330","21218.89","5112","9450.66","6230","15191.73","332A","11574.42","6220","15291.02","3256","17169.07","3322","11657.52","3256","10057.74"
"114","3321","2770.81","3121","3189.27","4830","5680.11","2213","20076.49","2122","7568.55","3336","14889.54","S006","11411.74","3322","15219.71","3254","16412.92","3352","11631.01","332A","9651.26"
"115","6230","2537.2","6220","3020.16","3352","5606.69","3253","19500.91","S006","7490.77","3352","14271.64","2110","10727.96","5112","12800.65","S006","14550.34","5161","10411.25","3352","9641.57"
"116","3352","2453.05","2110","2858.76","S006","5505.2","3160","15406.63","4860","7406.29","1150","13787.83","3321","9732.3","2122","11771.57","6220","14050.48","3336","10394.83","1120","9120.91"
"117","5330","2403.59","5161","2491.44","332A","5297.8","4860","14924.92","5330","6888.33","2121","12948.53","5330","8863.91","S006","10235.28","4830","11983.39","2122","8815.26","6210","7921.84"
"118","4860","2245.03","2130","1966.57","2122","5095.76","6220","10580.57","6220","6643.61","2110","12582.21","3322","7093.01","6210","9457.28","5330","9113.811","3255","8757.8","2302","6808.13"
"119","3336","2140.58","6210","1632.78","2302","5000.43","3122","7936.5","3160","6026.59","3160","10181.38","3352","6912.75","3160","8091.29","4860","8785.78","3160","8517.811","S006","5940.04"
"120","2110","1978.37","5250","1542.88","3353","4401.74","S006","7587.09","332A","5529.21","2122","9472.15","4860","6909.27","5330","8025.48","3253","7447.7","S006","8439.479","6220","5125.3"
"121","3315","1968.74","2122","1010.96","1140","4348.64","1140","7172.45","6210","4851.53","4860","8071.67","3336","6431.17","3253","6480.34","S005","4355.21","2110","7932.43","3254","4935.99"
"122","3353","1831.74","1140","687.41","3336","4298.24","6210","6367.59","3352","4170.3","3253","5921","4830","5916.37","4830","6282.27","813A","4310.4","2302","7784.09","1150","3389.11"
"123","3254","1792.78","","","6230","4030.69","5250","6100.77","2302","3143.17","3121","5712.31","3160","5739.14","5250","5937.17","6240","3673.31","5330","7468.32","3253","2530.86"
"124","332A","1512.31","","","3160","3692.97","813A","3736.2","5161","2616.13","813A","5291.19","5161","4985.04","6230","4031.4","5250","2803.86","5250","7208.76","1140","1587.06"
"125","3253","1385.39","","","3321","3587.56","2302","3420.79","813A","2214.63","5330","4569.69","1140","4449.74","6240","3586.65","6230","2744.71","1140","7159.51","6240","1296.44"
"126","6210","1303.24","","","3253","2971.87","5161","3389.99","S005","1594.64","5250","4190.5","S005","4055.94","3121","3433.88","1140","2232.5","4860","4218.39","",""
"127","6240","1236.19","","","5250","2375.38","8140","1425.14","5250","1583.1","5161","4172.12","2302","3931.9","1140","2601.95","3121","1801.4","3121","3251.86","",""
"128","","","","","S005","2064.81","6240","1062.08","6230","1232.35","1140","4061.12","813A","3460.8","S005","1976.99","5161","1610.78","S005","2395.39","",""
"129","","","","","5330","1263.78","","","6240","1041.05","","","","","5161","1454.42","","","3253","1412.99","",""

