". table bea67 age_r [pw = perwt], cellwidth(10)"
"","","RECODE of age (Age)","",""
"bea67","0-18 years","19-25 year","26-39 year","40-59 year","60-99 year"
"55","66,132.4","2,724.45","44,404.4","1,217.13",""
"56","984,361","72,537.5","449,772","33,223.2","43,613.5"
"57","15,512","1,254.91","19,977.6","1,355.7","1,340.69"
"58","2531337","91,020.8","413,320","17,666.6","28,178.9"
"59","1191281","71,142.2","579,741","69,981.6","72,151.3"
"60","644,622","16,323.2","94,343","4,034.26","4,471.18"
"61","1220672","63,045.5","407,492","24,586.1","44,184"
"62","168,010","6,562.93","86,966.7","3,938.69","5,036.15"
"63","204,669","4,104.32","78,559.1","19,395.2","11,642.6"
"64","2454932","72,720.9","400,242","12,318.3","18,237.3"
"65","6331592","250,259","1507058","43,479.8","38,481.9"
"66","599,652","41,412","199,872","6,287.03","7,697.9"
"67","755,476","79,763.5","376,754","7,707.39","14,305.1"
"68","2119811","91,919.4","420,676","16,633.1","15,388.3"
"69","1.58e+07","864,438","3870713","104,495","162,423"
"70","2218240","117,862","2110095","142,467","177,326"
"71","91,395.1","6,632.77","152,727","6,745.35","16,362.1"
"72","3713399","129,828","777,280","30,784.8","81,366.5"
"73","3210084","240,032","2610882","710,664","1334209"
"74","238,152","21,767.5","231,876","43,477.7","30,126.8"
"75","1813136","62,795.9","188,611","5,330.95","3,919.88"
"76","898,952","52,993.1","318,758","29,916.6","413,074"
"78","1793817","118,735","896,508","72,739.9","211,265"
"79","1837131","106,212","838,706","106,926","204,775"
"110","860,762","70,877.8","868,984","381,809","780,884"
"111","1523169","72,637.9","598,613","107,286","1293167"

". table bea67 educ_r [pw = perwt] if sex == 2, cellwidth(10)"
"","","","RECODE of educ (Educational attainment recode)","",""
"bea67","0","No HS/GED","HS or GED","some colle","four-year","grad degree"
"0","","2,340","1,170","5,850","",""
"1","","344,235","4,098.05","27,442.9","",""
"2","","485,210","10,165.5","49,213.2","1,215.21","2,682.84"
"3","","20,215.8","","5,168.74","",""
"4","","44,189.3","3,574.36","3,853.95","",""
"5","","21,583.7","","4,054.02","",""
"6","","14,768.5","","2,629.77","",""
"7","","9,347.82","","7,720.75","",""
"8","","61,126.5","1,443.52","16,370","","1,302.75"
"9","","39,870.1","3,660.11","10,756.3","",""
"10","","2,767.16","","1,412.29","",""
"11","","259,844","14,724.4","77,887.1","","1,276.43"
"12","","263,072","10,474.3","51,764.8","2,472.5",""
"13","","135,417","2,523.22","17,028.7","",""
"14","","1529397","27,855.2","112,987","1,102.74","1,172.21"
"15","","91,944","1,295.63","1,272.14","",""
"16","","1434220","3,821.73","55,250.8","",""
"17","","165,673","","7,755.01","",""
"18","","3325143","20,263.9","145,713","2,492.09",""
"19","","314,989","1,147.61","13,926.5","",""
"20","","95,688.8","2,815.98","15,434.7","2,815.87",""
"21","","89,553.8","","3,814.91","",""
"22","","54,317.2","2,629.37","9,902.46","",""
"23","","328,681","7,116.6","18,097.6","","2,443.02"
"24","","253,860","10,548.6","37,488.6","",""
"25","","252,207","2,526.42","28,756.8","","1,179.23"
"26","","919,041","30,100.3","259,897","18,053.1","17,478.9"
"27","","346,872","8,906.33","68,087.8","",""
"28","","165,348","9,007.7","30,306.5","1,420.14",""
"29","","188,217","3,882.49","39,640","","1,225.51"
"30","","33,361.6","5,113.9","16,925","",""
"31","","108,473","12,137","52,394.6","2,661.27",""
"32","","568,261","8,722.53","40,890.2","",""
"33","","15,390","1,358.03","1,067.93","",""
"34","","589,332","5,173.96","21,698.1","",""
"35","","130,046","2,653.72","23,844.1","",""
"36","","172,408","3,633.09","16,791.2","1,480.61",""
"37","","126,680","2,598.33","10,468.4","3,801.48",""
"38","","165,470","2,756.12","28,145","",""
"39","","263,597","2,927.83","28,407.8","",""
"40","","119,353","3,882.62","17,216.8","",""
"41","","202,353","5,401.68","20,525.4","",""
"42","","204,274","1,291.13","6,422.29","",""
"43","","54,114.1","","4,148.38","",""
"44","","139,058","4,008.31","37,002.3","1,474.53",""
"45","","66,186.7","3,419.05","13,529.9","","1,215.75"
"46","","62,526.2","3,813.51","15,720.1","",""
"47","","105,250","1,322.05","20,113.3","",""
"48","","16,042.1","2,519.49","10,588.1","",""
"49","","22,977.4","","8,929.75","",""
"50","","326,117","11,902.9","30,202.5","",""
"51","","253,204","3,018.39","61,468.2","1,513.78","1,266.74"
"52","","29,446.4","1,353.58","5,123.87","",""
"53","","348,772","11,963.9","41,627.1","",""
"54","","630,480","10,446.7","79,866.8","",""
"55","","21,559.1","","7,964.84","","1,448.32"
"56","","1276340","23,130.2","135,343","3,472.2","2,719.66"
"57","","3,611.17","","1,169.49","1,176.32",""
"58","","302,939","5,243.15","35,409.8","",""
"59","","326,173","15,783.8","97,622.7","5,148.83","1,320.14"
"60","","71,687.1","","24,286.9","",""
"61","","386,618","11,442.3","62,772.9","1,150.04",""
