". table bea67 age_r [pw = perwt], cellwidth(10)"
"","","RECODE of age (Age)","",""
"bea67","0-18 years","19-25 year","26-39 year","40-59 year","60-99 year"
"66","","","","","581,137","","8,805.55","","","","16,272.4","112,244","","25,621.8","110,840",""
"67","","","","","14,115.7","","9,488.08","5,390.81","","","938,907","190,529","","18,891.7","56,684",""
"68","","","","","1706049","","38,268.8","","","","","454,425","","182,634","283,051",""
"69","","","","","50,136.5","5972271","9251838","8,142.48","4,027.97","","","2978303","1003235","685,497","840,437",""
"70","","","","","","","","","","","","","4765990","","",""
"71","","","","","","","6,857.88","","","","","117,696","","100,726","48,582.1",""
"72","","","","","","3454795","34,682","1,263.61","5,653.2","","","728,521","","57,301.5","450,443",""
"73","","","","7,802.82","","","73,668.2","25,414.9","3704703","206,059","","1285149","","853,803","1325906","623,366"
"74","","","","","","59,955","229,794","220,239","","","","18,534.6","","9,274.88","27,603.6",""
"75","","","","","","1635215","22,709.3","","4,153.03","","","374,621","","8,982.71","28,112.9",""
"76","","","","","","712,797","32,154.8","610,824","67,254.2","","","180,826","","9,042.74","62,192.6","38,603.3"
"78","","","","","","","","","","630,678","","","","","","2462388"
"79","","","","","","","","","","595,270","","","","","","2498480"
"110","","","","","","1,258.25","9,363.97","20,644.6","2475118","","","313,499","","33,974.3","109,459",""
"111","","","","","","189,097","3,932.77","2333109","47,461","","","217,855","306,061","338,192","159,166",""

". table bea67 IO15 [pw = perwt]  if sex == 2, cellwidth(10)"
"","","","","","","","","IO15","","","","","","",""
"bea67","Military","LABOR AGRI","LABOR HIGH","LABOR LOW","LABOR OTHR","PERSONAL S","RETAIL & W","LABOR HEAL","EDUCATION","POLICE & F","TRANS,COMM","MANAGERS","FIRE & PER","PROF COORD","SUPPORT LA","GOVT ADMIN"
"0","9,360","","","","","","","","","","","","","","",""
"1","","280,975","","","","","2,080.2","","1,235.89","","","62,953.3","","2,428.19","26,102.7",""
"2","","351,472","","","2,668.05","","1,264.38","591.55","","","","72,694.5","","4,970.7","114,825",""
"3","","11,068.8","","","","","","","","","","","","","14,315.8",""
"4","","36,578.8","","","","1,091.57","","","","","","6,663.73","","","7,283.51",""
"5","","3,932.17","","","1,416.28","","","","","","","1,335.03","","","18,954.3",""
"6","","","","","3,055.69","","","","","","","","","","14,342.5",""
"7","","","","","4,005.58","","","","","","","","","1,202.14","11,860.9",""
"8","","6,471.9","","","","","","","","","","4,015.9","","1,179.39","68,575.6",""
"9","","2,276.57","","","1,118.03","","","","","","","3,680.47","","2,506.29","44,705.1",""
"10","","1,412.29","","","","","","","","","","","","","2,767.16",""
"11","","","","","24,807.8","","2,890.28","","","","","28,068.4","","2,593.65","295,372",""
"12","","","","","25,329","","1,279.31","","","","","24,385.8","","11,974.9","264,815",""
"13","","","100,542","","","","","","","","","3,799.29","","5,147.56","45,480",""
"14","","","","1070969","26,002.6","","9,098.41","","1,582.66","","","62,476.4","","66,869.6","435,515",""
"15","","","","80,879.7","","","","2,647.63","","","","1,267.07","","","9,717.34",""
"16","","","","1329600","","","","1,141.81","","","","23,427.1","","15,566.2","123,558",""
"17","","","","147,197","","","","","","","","3,800.98","","1,392.13","21,038.1",""
"18","","","","2826823","157,096","","2,639.89","","2,639.86","","","78,387.5","","29,632.7","396,393",""
"19","","","","288,453","","","","","1,329.03","","","19,058.3","","2,628.71","18,594.2",""
"20","","1,208.79","","37,965.6","2,374","","","","","","","7,866.58","","4,304.55","63,035.8",""
"21","","","","67,550.3","","","","","","","","4,006.93","","","21,811.5",""
"22","","","","","7,667.37","","","","","","","3,877.81","","8,874.15","46,429.7",""
"23","","","","262,116","","","","","","","","4,869.68","","3,964.47","85,388.7",""
"24","","","","159,572","6,797.09","","","","","","","7,271.88","","13,377.2","114,879",""
"25","","","","154,490","8,591.82","","","1,324.68","","","","11,586.6","","10,269.8","98,406.9",""
"26","","","479,248","1,373.17","","","29,944","","","","","71,353.9","","36,554.3","626,097",""
"27","","","172,560","","11,511.1","","5,189.26","1,310.15","","","","7,689.94","","12,992.3","212,613",""
"28","","","94,370.8","","","","","1,276.15","","","","8,815.2","","3,941","97,679",""
"29","","","76,053.3","","16,599.7","","1,387.25","","","","","7,584.29","","11,013.3","120,327",""
"30","","","15,671.8","","","","","","","","","4,984.03","","","34,744.6",""
"31","","","2,589.8","","5,329.65","","","","","","","10,353","","13,398.4","143,995",""
"32","","","448,243","","","","","1,374.67","","","","18,238.8","","7,750.01","142,267",""
"33","","","","11,597.9","","","","","","","","","","","6,218.1",""
"34","","","","535,960","","","5,210.23","","1,214.85","","","13,818.5","","1,285.61","58,714.9",""
"35","","","","100,117","","","","1,319.62","","","","1,548.81","","10,158.5","43,399.6",""
"36","","","","102,354","","","","1,415.2","","","","7,464.07","","1,182.34","81,897.4",""
"37","","","24,681.2","","","","","2,378.49","","","","2,572.81","","1,365.57","112,550",""
"38","","","110,517","","","","","2,798.44","","","","1,352.84","","5,387.8","76,315.1",""
"39","","","189,148","","","","","","","","","10,820.9","","2,408.45","92,554.7",""
"40","","","57,817.6","","","","","","","","","7,573.15","","2,504.37","72,557.7",""
"41","","","142,976","","","","","1,285.77","","","","2,727.36","","1,216.51","80,074.3",""
"42","","","142,887","","","","1,316.49","1,337.59","","","","","","4,907.99","61,538.4",""
"43","","","27,427.5","","","","","","","","","2,860.36","","1,457.39","26,517.3",""
"44","","","15,567.9","","10,501.5","","","","","","","9,420.65","","10,157.7","135,895",""
"45","","","27,039.3","","5,458.17","","","","","","","2,577.71","","1,364.05","47,912.2",""
"46","","","22,145.8","","9,082.38","","","","","","","4,328.63","","3,943.22","42,559.7",""
"47","","","33,182.2","","2,395.24","","","","","","","6,386.28","","3,986.68","80,735.2",""
"48","","","","","1,147.46","","","","","","","","","","28,002.3",""
"49","","","","","2,538.02","","","","","","","5,470.54","","1,312.83","22,585.8",""
"50","","","221,457","","1,181.51","","","","","","","13,118.4","","8,186.14","124,280",""
"51","","","142,441","","7,643.61","","2,619.86","","","","","13,602.5","","4,979.05","149,185",""
"52","","","","","2,754.71","","","","","","","6,732.16","","2,617.74","23,819.3",""
"53","","","197,132","","11,681.4","","","","1,160.5","","","11,542.7","","19,665.3","161,181",""
"54","","","498,865","","2,679.82","","","1,232.9","","","","17,095.1","","7,137.01","193,784",""
"55","","","","","2,513.56","","","","","","","2,669.13","","","25,789.5",""
"56","","","1042571","","","","3,621.24","3,714.63","","","","23,814.9","","24,749.1","342,534",""
"57","","","1,202.14","","","","","","","","","2,441.4","","","2,313.44",""
"58","","","187,083","","","","1,184.74","5,240.12","","","","8,857.71","","8,825.95","132,401",""
"59","","","126,227","","7,376.81","","","1,384.66","","","","16,819.7","","28,548.3","265,693",""
"60","","","26,110.6","","","","","","","","","4,470.42","","2,702.2","62,690.7",""
"61","","","275,643","","","","","","","","","10,505.4","","6,482.36","169,352",""
"62","","","126,287","","","","","","","","","3,987.8","","5,004.06","76,183.6",""
"63","","","104,932","","","","","","","","","1,222.13","","1,257.77","44,257.7",""
"64","","","561,916","","9,674.72","","7,206.2","","5,301.11","","","41,012","","21,399.8","269,894",""
"65","","","","","51,919.8","","17,965.2","1,352.84","3,956.32","","201,220","120,355","","18,581.1","1244649",""
"66","","","","","6,348.07","","3,711.42","","","","","3,986.28","","5,367.56","152,145",""
"67","","","","","","","18,028.5","1,246.26","","","56,826.8","31,058.6","","10,879.7","1418392",""
"68","","","","","33,686.4","","15,678.5","","1,327.32","","","12,810.4","","14,337","361,502",""
"69","","","","","5,046.29","2511500","1.01e+07","7,717.83","7,880.01","","","822,080","1937359","322,210","2484357",""
"70","","","","","","","","","","","","","3847965","","",""
"71","","","","","","","2,490.21","","1,299.82","","","10,074.1","","28,347.1","100,799",""
"72","","","","","","1.01e+07","159,412","26,913.4","10,354.2","","","971,454","","16,233.6","1290718",""
"73","","","","14,966.6","","","86,663.3","159,111","8768913","","","602,231","","347,781","1581067","469,951"
"74","","","","","","4,006.51","666,264","21,770.8","","","","12,882.3","","6,541.13","63,987",""
"75","","","","","","34,770.6","6,350.34","","1,180.72","","","14,158","","1,405.62","96,710.2",""
"76","","","","","","342,597","22,053.5","789,985","40,151.2","","","87,210.2","","2,541.59","590,721","40,198.2"
"78","","","","","","","","","","11,735.8","","","","","","1571920"
"79","","","","","","","","","","13,037.6","","","","","","1653657"
"110","","","","","","34,750.9","25,608.9","44,691.7","2116713","","","121,552","","6,712.18","488,914",""
"111","","","","","","204,460","35,621.7","6493888","28,575.2","","","144,634","20,098.1","64,479","2585878",""

". table bea67 allwage_b [pw = perwt], cellwidth(10)"
"","","5 quantiles of incwage","",""
"bea67","1","2","3","4","5"
"0","105,225","762,799","831,883","935,222","635,936"
"1","2554285","631,686","372,239","242,789","106,711"
"2","3299617","933,638","636,060","505,985","318,005"
"3","70,018.4","45,634","61,885.7","50,478","46,258.7"
"4","317,742","101,024","64,352.6","47,610.3","17,016.7"
"5","16,863.4","19,700.3","61,418.6","80,573.3","102,598"
"6","22,550.8","30,948.3","55,186.9","84,921.4","88,449.6"
"7","30,669.5","36,769.1","66,089.7","65,119.2","97,771.1"
"8","50,711.4","64,972","115,960","120,493","209,566"
"9","28,823.8","36,228.9","65,104.4","83,992.4","85,596.3"
"10","6,849.99","20,940.8","23,117.7","41,081.8","45,366"
"11","1288783","1181385","1621279","1452325","1808528"
"12","1288438","1141156","1579444","1463943","1867145"
"13","44,691.2","79,695.5","136,983","153,014","173,416"
"14","787,160","1223527","1406301","1524707","1545579"
"15","20,972.4","48,002.9","49,284.4","59,316","22,819.4"
"16","243,938","793,354","518,417","1043822","229,906"
"17","47,948.5","150,783","103,698","204,413","102,547"
"18","724,180","1456435","1379145","1338212","532,061"
"19","82,001.7","142,979","103,318","116,655","46,356.3"
"20","312,858","406,033","413,749","405,767","287,878"
"21","32,616.3","105,379","84,099.5","125,418","56,295.5"
"22","55,176.2","74,519.3","86,901.6","109,845","104,362"
"23","109,429","385,790","291,506","446,375","221,868"
"24","82,092.9","221,025","361,863","360,764","596,308"
"25","72,824","182,389","207,742","285,007","242,858"
"26","775,682","731,720","780,617","788,393","971,483"
"27","132,804","320,781","615,051","550,791","916,027"
"28","26,259.8","74,815.3","97,370.6","106,017","126,678"
"29","92,002.8","136,710","185,953","206,100","262,094"
"30","12,986.4","33,997","58,181.1","67,266.9","61,263.4"
"31","77,686.3","118,481","263,503","190,514","378,297"
"32","140,412","333,266","416,281","449,895","425,573"
"33","4,757.18","27,221.9","18,201.6","40,415.8","26,636.1"
"34","107,755","282,171","216,156","319,020","83,150.5"
"35","31,796.4","101,406","153,518","144,689","177,555"
"36","78,264.8","267,522","291,211","364,974","382,513"
"37","112,481","303,274","696,467","559,256","1034173"
"38","57,421.4","204,780","322,327","333,883","409,817"
"39","82,783.1","223,175","343,657","362,025","467,680"
"40","96,135.9","220,036","335,624","361,695","423,353"
"41","49,361.7","139,414","178,293","232,426","249,903"
"42","43,314.6","109,833","105,426","181,698","132,928"
"43","19,357.6","42,762.9","77,478","66,109.2","118,878"
"44","95,361.6","147,880","230,552","239,151","323,847"
"45","41,973.8","68,617.2","143,181","108,852","165,987"
"46","43,476.7","83,168.2","140,792","102,902","207,550"
"47","53,289","152,799","242,252","215,051","344,029"
"48","19,003.9","21,127.4","27,618.7","32,651.5","51,328.7"
"49","18,824","29,273.4","42,374.5","28,970.4","56,735.5"
"50","118,523","273,102","465,038","440,818","691,942"
"51","66,044","176,918","288,496","254,573","464,109"
"52","85,152.4","43,268","78,012","67,907.1","99,416.5"
"53","103,871","261,396","315,767","382,611","444,892"
"54","134,598","333,137","408,947","495,073","521,667"
"55","18,103.9","20,677.1","30,965.7","35,562.3","40,141.7"
"56","192,410","627,543","616,499","861,853","726,208"
"57","1,102.9","1,223.24","12,867.2","12,698.4","17,506.3"
"58","108,738","329,196","901,429","586,788","1498964"
"59","82,054.6","225,229","545,045","513,568","1064449"
"60","50,342.8","109,062","226,074","196,300","277,989"
"61","130,584","375,652","502,864","504,872","707,990"
"62","35,612.1","85,429.3","105,096","128,819","127,019"
"63","28,241.4","69,069.2","102,142","102,936","167,651"
"64","374,903","524,225","921,452","853,532","1200742"
"65","955,846","1393131","2320513","1963561","3197819"
"66","33,811","106,113","274,201","220,985","391,370"
"67","204,096","579,591","607,482","767,981","611,288"
"68","249,957","504,097","628,243","718,379","1003093"
"69","1.11e+07","9907149","7065008","6670585","4239062"
"70","1439253","1689135","1632271","1979794","1873502"
"71","78,760","59,851.3","59,646.3","90,717.2","127,898"
"72","8697231","3999151","2431854","1486669","705,008"
"73","3696373","4377424","4100494","3816449","4145816"
"74","390,868","356,594","272,713","200,202","120,475"
"75","752,687","357,335","354,581","424,611","339,154"
"76","1175425","890,562","605,602","608,347","349,216"
"78","357,299","697,088","1023071","1020255","1579008"
"79","325,452","763,757","1022613","1147825","1500798"
"110","866,110","1233998","1320495","1024558","1357099"
"111","2680459","3415888","2712868","3153391","1209902"

". table bea67 allwage_m [pw = perwt] if sex == 1, cellwidth(10)"
"","","5 quantiles of incwage","",""
"bea67","1","2","3","4","5"
"0","264,429","947,365","866,071","747,215","436,626"
"1","2500528","473,494","357,866","137,593","62,454.6"
"2","3266362","724,048","643,862","312,283","198,264"
"3","70,676.6","50,931.9","54,211.7","42,324.6","30,745.5"
"4","323,985","71,945.2","73,474.1","18,046.3","8,676.74"
"5","12,981.5","48,710.9","51,438.1","81,017.9","61,367.8"
"6","20,532.7","53,454.8","44,025.8","91,258.6","55,386.7"
"7","36,154.4","46,810.6","71,216.6","69,211.9","55,956.7"
"8","52,295.5","79,034.6","99,539.6","112,228","138,362"
"9","24,380.2","35,817.9","65,112","65,765.2","54,384"
"10","5,396.07","31,226.7","28,796.2","31,138.3","36,619.5"
"11","1472140","1402898","1619355","1229823","1274352"
"12","1430597","1403471","1573736","1334305","1270233"
"13","24,980","95,824","89,791.2","122,363","99,873.5"
"14","585,772","1099469","986,502","1268195","874,822"
"15","10,193.3","28,297.8","32,568.7","24,981.5","9,842.11"
"16","120,171","346,436","397,266","368,339","103,932"
"17","27,932.7","111,993","115,607","122,320","58,108"
"18","292,175","432,755","442,237","444,063","325,191"
"19","28,673.4","34,630.8","37,450.8","37,063.5","23,428.1"
"20","369,409","433,733","421,498","329,608","155,283"
"21","44,527.6","72,032.2","88,238.5","73,356.3","32,285"
"22","47,781.3","83,620.6","75,811.7","85,032.3","71,709.1"
"23","109,503","305,002","309,046","252,823","122,257"
"24","61,783.8","251,949","257,305","393,447","355,670"
"25","50,459","150,026","175,283","189,856","140,527"
"26","690,904","446,889","509,771","521,675","634,086"
"27","106,950","372,564","500,195","496,548","635,332"
"28","11,404.2","41,666","50,300.5","41,899.6","79,788.5"
"29","73,599.7","97,446.6","147,347","141,153","190,350"
"30","3,980.21","55,196.6","29,611.4","53,128.8","36,377.3"
"31","70,306.7","155,207","185,734","188,942","252,625"
"32","73,494.9","252,284","260,616","309,490","251,669"
"33","5,885.84","25,074.6","23,586.1","34,333.5","10,536.6"
"34","36,519.1","116,463","105,777","84,389.5","48,899.6"
"35","23,872.9","85,396.5","122,667","94,443.1","126,040"
"36","85,244.8","294,984","254,669","340,520","214,754"
"37","136,469","542,205","467,237","790,386","625,806"
"38","56,444","258,715","220,181","369,946","226,572"
"39","73,996.8","224,121","258,256","313,375","314,639"
"40","98,385.3","293,673","290,710","361,489","252,133"
"41","29,746.5","124,439","145,752","173,522","147,658"
"42","24,655.9","75,607.3","68,393.7","116,291","76,263.8"
"43","19,300.6","50,456.3","43,769.5","78,899.8","73,897.5"
"44","77,116.4","164,794","193,824","221,678","197,837"
"45","38,594.3","82,191","105,208","117,854","100,413"
"46","42,580.2","83,414.1","105,079","125,916","138,839"
"47","56,463.7","208,905","158,018","238,036","219,311"
"48","15,262","21,037.6","20,270.6","29,140.9","36,869.6"
"49","22,319.8","23,115.2","30,831.4","27,322.4","40,681.8"
"50","94,387.2","322,024","328,263","432,924","443,601"
"51","47,994.1","153,064","193,297","229,945","305,369"
"52","79,785.1","62,270.1","62,258.4","66,340.7","67,177.9"
"53","97,962.6","226,842","210,294","266,688","304,386"
"54","60,537.6","209,239","263,592","266,424","372,837"
"55","18,477.8","14,943.1","31,098","23,151.6","26,807.9"
"56","79,968.1","271,059","362,504","418,057","451,919"
"57","1,102.9","6,589.65","10,369.1","11,510.2","9,869.1"
"58","102,968","630,757","580,147","853,027","914,624"
"59","58,694","300,117","435,984","437,270","752,232"
"60","52,468.5","176,336","154,155","205,262","175,572"
"61","114,106","403,487","384,182","414,172","444,033"
"62","13,427","50,553.9","59,997.5","64,151.4","82,384.5"
"63","17,644.7","45,350","67,031.4","64,239.4","124,104"
"64","250,181","586,403","545,235","887,264","689,367"
"65","883,506","1777321","1521882","2182368","1805794"
"66","29,772.2","163,137","188,812","205,658","267,542"
"67","47,134.8","207,124","320,739","237,380","421,629"
"68","243,416","543,152","536,544","693,039","648,276"
"69","6607917","4540109","3691589","3445210","2509065"
"70","873,050","855,360","897,050","920,589","1219941"
"71","53,552","37,002.9","57,408.1","37,785.3","88,114.2"
"72","2074385","859,409","785,653","630,681","382,530"
"73","1414214","1472842","1745592","1555557","1917667"
"74","208,980","100,276","116,883","57,322.7","81,938.6"
"75","772,101","395,266","347,675","383,328","175,424"
"76","741,038","296,712","275,134","188,807","212,003"
"78","179,132","556,059","617,482","784,910","955,483"
"79","174,010","597,739","636,038","768,909","917,054"
"110","389,035","644,182","655,863","568,965","705,273"
"111","1150668","644,126","757,042","585,158","457,880"

". table bea67 allwage_f [pw = perwt] if sex == 2, cellwidth(10)"
"","","5 quantiles of incwage","",""
"bea67","1","2","3","4","5"
"0","","","1,170","2,340","5,850"
"1","223,534","75,206.7","36,117.6","35,116.5","5,800.6"
"2","264,138","123,029","62,973.8","59,180.7","39,164.3"
"3","6,116.43","6,784.96","3,908.32","","8,574.83"
"4","27,824.9","9,228.91","10,852.4","2,439.99","1,271.33"
"5","3,881.93","","2,588.12","7,533.37","11,634.3"
"6","2,705.64","5,953.84","1,260.25","3,589.4","3,889.09"
"7","3,734.07","4,248.35","1,395.48","5,241.99","2,448.68"
"8","7,882.27","6,271.58","18,788","17,862.5","29,438.4"
"9","7,191.79","4,898.82","10,727.7","15,273","16,195.2"
"10","","4,179.45","","",""
"11","39,043.3","72,474.5","73,757.5","70,448.8","98,007.6"
"12","55,011.2","54,370.1","66,813.1","67,182.5","84,407.2"
"13","20,719.6","16,630.2","28,657.2","31,157.8","57,804.2"
"14","256,028","306,736","341,413","420,182","348,155"
"15","10,826.5","13,543.9","22,734.1","28,952.7","18,454.5"
"16","125,653","267,309","289,032","526,518","284,780"
"17","18,950.2","29,549.8","35,809.5","53,897.2","35,221.4"
"18","366,526","841,369","592,010","1275706","418,002"
"19","44,183.4","90,273.8","52,360.9","102,363","40,882.4"
"20","19,093","17,863.5","28,336.9","27,942","23,519.9"
"21","5,161.4","22,062.8","18,817.6","30,547.5","16,779.6"
"22","12,214.4","7,782.16","10,163","17,391.7","19,297.7"
"23","27,033.1","74,572.5","73,630.1","102,083","79,020"
"24","28,803.8","36,393.7","79,059.3","58,003.7","99,636.6"
"25","28,790.6","43,713.5","61,416","73,443","77,306.4"
"26","159,815","209,653","266,653","273,578","334,872"
"27","45,870.8","48,267.6","106,428","88,786.5","134,514"
"28","18,761.9","14,741.4","53,981.1","44,862.2","73,735.6"
"29","23,692.4","27,528.5","67,873.7","48,667.9","65,202.1"
"30","7,436.39","6,780.81","11,992.2","10,357","18,834"
"31","12,226.3","23,022.6","41,203.7","34,256.4","64,957.3"
"32","64,207.8","114,916","134,050","146,939","157,761"
"33","1,379.49","4,038.35","1,270.31","5,012.33","6,115.48"
"34","66,379.2","119,960","108,008","242,541","79,316.2"
"35","15,004.8","14,728.8","46,215.7","27,272.5","53,322"
"36","15,345.4","27,756.1","53,449.5","40,259.2","57,503"
"37","8,296.54","11,390.8","44,808.9","27,209.3","51,842.5"
"38","15,636.7","27,533.5","62,371.9","35,489.8","55,339.3"
"39","22,911.2","32,338.3","86,890.6","63,266.4","89,526"
"40","14,881","23,986.1","30,057.2","28,185.2","43,343.4"
"41","18,937","40,163","52,954.1","39,516.7","76,709.2"
"42","18,745.3","23,442.2","51,303.6","49,081.6","69,414.4"
"43","2,854.3","4,005.17","21,192.2","16,646.4","13,564.5"
"44","30,386.7","28,241.1","36,061.1","30,989.1","55,864.7"
"45","3,886.79","14,647.3","26,807.7","14,306.4","24,703.3"
"46","6,023.93","15,151.5","27,191.6","24,822.4","8,870.47"
"47","8,627.54","26,045.1","25,202.7","27,783.4","39,026.9"
"48","6,494.97","2,557.68","11,234.8","3,677.85","5,184.37"
"49","2,641.15","1,338.98","7,996.45","8,522.71","11,407.9"
"50","30,742.5","54,105.4","93,236.4","79,892.7","110,246"
"51","20,758.1","46,952","76,493.6","71,028.6","105,239"
"52","11,847.7","2,633.1","3,918.77","8,952.51","8,571.77"
"53","26,108.9","54,610.4","106,366","88,054.8","127,223"
"54","72,898.9","107,701","161,753","148,179","230,261"
"55","2,669.22","5,100.52","7,097.05","9,707.19","6,398.25"
"56","108,223","219,427","336,845","349,963","426,547"
"57","","","","2,409.03","3,547.95"
"58","20,147.9","26,592.9","92,543.9","53,799.4","150,508"
"59","25,946.8","29,481.1","115,202","72,053.7","203,365"
"60","9,337.19","","27,803.3","14,432.7","44,400.8"
"61","34,749.3","59,339.8","110,870","105,333","151,691"
"62","19,474.1","35,160.9","48,485.6","45,600.1","62,741.4"
"63","15,085","22,296.5","39,114.3","22,793.5","52,380.2"
"64","133,103","145,308","197,309","224,020","216,665"
"65","184,541","262,245","428,378","277,162","507,674"
"66","6,265.89","8,230.38","49,452.1","37,865.9","69,744.3"
"67","146,213","193,412","386,932","282,162","527,712"
"68","46,937.2","77,458.5","114,531","65,818.6","134,596"
"69","4419856","4497170","3384727","3903608","1990234"
"70","498,571","616,070","938,449","782,934","1011940"
"71","23,462.7","18,505.2","28,713","17,954.3","54,375.2"
"72","5754709","3104434","1698424","1551345","478,342"
"73","1916923","2266794","2508666","2044268","3294031"
"74","164,118","203,178","140,393","208,376","59,387"
"75","37,894.2","20,822.9","31,625","40,281.9","23,951.5"
"76","408,872","424,340","367,496","399,432","315,317"
"78","183,727","181,721","377,979","257,695","582,534"
"79","155,636","207,652","397,743","274,344","631,319"
"110","455,699","499,151","602,598","499,610","781,885"
"111","1231675","1793865","2096938","2381081","2074076"

". table bea67 allwage_b [pw = perwt] if sex == 1, cellwidth(10)"
"","","5 quantiles of incwage","",""
"bea67","1","2","3","4","5"
"0","105,225","762,799","829,543","929,372","634,766"
"1","2300392","564,701","329,562","231,834","105,446"
"2","2984282","814,395","579,907","458,616","307,619"
"3","62,624.8","37,484","60,619.6","41,903.2","46,258.7"
"4","286,299","92,202.1","55,332.8","45,277.1","17,016.7"
"5","12,981.5","18,388.3","56,197.1","66,483.1","101,466"
"6","16,793.7","28,045.9","51,500.1","79,869.4","88,449.6"
"7","26,935.4","31,125.3","63,316.5","61,448.4","96,524.5"
"8","41,585.6","47,695.6","99,336","94,602.8","198,240"
"9","19,204.8","24,389.9","56,388.3","62,396.8","83,079.5"
"10","5,396.07","18,215.3","23,117.7","41,081.8","45,366"
"11","1233707","1079199","1548360","1344350","1792951"
"12","1220716","1054309","1506544","1390119","1840655"
"13","18,736.9","47,249.6","110,388","97,915.1","158,542"
"14","464,981","733,514","1059165","1079684","1477416"
"15","6,445.25","23,987.7","24,950.3","27,680.7","22,819.4"
"16","75,659.6","317,034","195,285","539,296","208,870"
"17","20,493.6","101,878","67,183.4","147,762","98,644"
"18","230,426","300,250","418,827","491,723","495,193"
"19","23,560.4","31,966","22,346","43,320.8","40,053.3"
"20","289,706","375,439","387,042","373,101","284,241"
"21","22,480.3","74,548.3","58,601.7","102,396","52,413.7"
"22","41,518.4","60,373.5","71,625.2","89,832.9","100,605"
"23","73,396.6","257,151","220,947","339,324","207,812"
"24","48,955","127,624","317,210","246,280","580,087"
"25","37,467.2","95,680.6","154,416","187,211","231,376"
"26","571,836","353,858","559,733","422,030","895,868"
"27","78,918.7","202,854","539,671","398,534","891,609"
"28","5,493.88","24,115.4","59,292.4","26,500.3","109,657"
"29","63,284.2","72,288.2","128,782","135,987","249,555"
"30","2,683.57","20,589.6","50,642.8","44,367.2","60,011.1"
"31","56,284.3","77,926","233,886","118,176","366,542"
"32","52,882.3","136,364","305,299","259,545","393,463"
"33","3,377.69","21,913.2","15,806","31,683.7","26,636.1"
"34","28,844.1","85,873.7","74,406.7","122,296","80,628.3"
"35","14,171.2","49,578.3","123,832","97,496.4","167,342"
"36","60,145","199,825","266,173","290,544","373,484"
"37","99,340.4","260,203","668,498","510,027","1024035"
"38","36,536.6","131,961","291,472","272,558","399,331"
"39","53,260.9","140,170","274,818","269,265","446,874"
"40","75,566","175,542","319,772","310,277","415,234"
"41","21,690.4","67,496.7","151,937","144,430","235,563"
"42","21,984.1","42,524.5","76,338.7","96,596.9","123,768"
"43","15,191.5","22,639.9","64,338.6","47,795.3","116,359"
"44","58,412.4","99,322.2","205,395","179,645","312,475"
"45","34,056.4","39,694.7","125,712","83,654.9","161,141"
"46","34,776.4","47,573.2","123,608","86,121.8","203,749"
"47","39,512.8","113,100","218,617","174,109","335,396"
"48","12,508.9","11,554.3","20,999.6","26,189","51,328.7"
"49","16,182.9","19,938","35,086","16,328.3","56,735.5"
"50","77,459.9","161,576","390,911","315,631","675,621"
"51","34,774.5","83,000.5","224,234","150,731","436,929"
"52","72,004.6","39,291.9","71,838.1","56,489.7","98,208"
"53","69,173","141,505","238,246","235,162","422,086"
"54","43,536.2","114,480","294,740","235,720","484,153"
"55","13,983.6","11,378.9","26,272.4","25,300.8","37,542.7"
"56","52,891.9","166,650","372,149","333,517","658,301"
"57","1,102.9","1,223.24","11,723.2","9,061.67","16,329.9"
"58","81,956.4","259,138","817,552","498,023","1424854"
"59","46,270.2","139,192","458,122","350,717","989,996"
"60","41,005.6","87,291.9","208,076","163,847","263,572"
"61","84,230.4","233,858","435,851","334,677","671,364"
"62","11,134","18,102.1","74,017.6","54,390.3","112,870"
"63","11,905.6","22,104.8","75,242.1","48,854.3","160,263"
"64","212,255","276,932","709,183","593,477","1166604"
"65","711,062","901,644","2003344","1529984","3024838"
"66","26,189.5","66,351.7","238,163","143,515","380,703"
"67","33,184.1","114,629","361,915","186,759","537,519"
"68","187,139","361,954","564,397","574,376","976,561"
"69","5452061","4156204","3572454","3692221","3920948"
"70","798,478","531,503","930,186","853,772","1652051"
"71","49,061.1","28,270.3","42,276.7","42,780.3","111,474"
"72","1847124","822,669","672,097","776,648","614,122"
"73","1130080","1146021","1705279","1470595","2653897"
"74","167,952","117,423","93,562.7","74,635","111,828"
"75","705,524","323,067","320,761","394,610","329,832"
"76","662,053","302,385","240,275","219,331","289,651"
"78","137,518","298,274","731,512","541,890","1383872"
"79","118,131","323,531","738,905","603,717","1309465"
"110","265,655","479,812","730,828","514,392","972,631"
"111","1019350","551,126","614,144","743,178","667,076"

". table bea67 allwage_b [pw = perwt] if sex == 2, cellwidth(10)"
"","","5 quantiles of incwage","",""
"bea67","1","2","3","4","5"
"0","","","2,340","5,850","1,170"
"1","253,893","66,985.1","42,677.3","10,954.9","1,265.34"
"2","315,335","119,243","56,153.5","47,369.3","10,386.1"
"3","7,393.64","8,149.99","1,266.08","8,574.83",""
"4","31,443","8,821.6","9,019.82","2,333.14",""
"5","3,881.93","1,311.97","5,221.53","14,090.3","1,132.04"
"6","5,757.11","2,902.37","3,686.81","5,051.93",""
"7","3,734.07","5,643.83","2,773.28","3,670.85","1,246.54"
"8","9,125.86","17,276.3","16,624.1","25,890.7","11,325.8"
"9","9,619.05","11,839","8,716.04","21,595.6","2,516.81"
